SrNo,id,name,jurisdiction,address,phone,general_phone,fax,website,twitter,twitter_handles,url,Updated URL,foia_logs,foia_portal,absolute_url,logo,facebook,linkedin,instagram,glassdoor,wikipedia,blog_or_news,open_data,github,yelp,YouTube,Flickr,Date of work,
1,411,"Massachusetts Commission on Lesbian, Gay, Bisexual, Transgender, Queer and Questioning (LGBTQ) Youth (Commission)",1,"Massachusetts Commission on GLBT Youth 
Administrative Office c/o MA DPH 
250 Washington Street 4th floor 
Boston, MA 02108",617-624-5495,617-624-5495,,http://www.mass.gov/cgly/,MassLGBTQyouth,,http://www.mass.gov/cgly/contacts.htm,,,,/agency/massachusetts-1/commission-on-gay-lesbian-bisexual-transgender-youth-411/,http://www.mass.gov/cgly/images/massseal.jpg,https://www.facebook.com/MCGLBTY/,,,,,,,https://github.com/codeforboston/lgbtq-data,,,,22-Jun-17,
2,3216,"Secretary of the Commonwealth of Massachusetts, Public Records Division",1,"Shawn A. Williams, Esq. 
Director, Public Records Division 
Supervisor of Records 
Office of the Secretary of the Commonwealth of Massachusetts 
One Ashburton Place Room 1719 
Boston MA 02108",617-727-2832,617-727-7030,617-727-5914,http://www.sec.state.ma.us/index.htm,,,http://www.sec.state.ma.us/arc/arcrmu/rmuidx.htm,,,https://www.sec.state.ma.us/AgencyRAOWeb/RAOAccounts/Welcome.aspx,/agency/massachusetts-1/public-records-division-of-the-secretary-of-the-commonwealth-of-massachusetts-3216/,https://www.sec.state.ma.us/images/header.gif,,,,,https://en.wikipedia.org/wiki/Massachusetts_Secretary_of_the_Commonwealth,,,,,,,22-Jun-17,
3,2520,Alcoholic Beverage Control Commission,1,"Alcoholic Beverage Control Commission 
239 Causeway Street 
Boston, MA 02114",617-727-3040,617-727-3040,617-727-1510,http://www.mass.gov/abcc/,,,http://www.mass.gov/abcc/recordrequest.htm,,,,/agency/massachusetts-1/alcoholic-beverage-control-commission-2520/,http://www.mass.gov/abcc/images/125abcc.jpg,,,,,https://en.wikipedia.org/wiki/Massachusetts_Alcoholic_Beverage_Control_Commission,http://www.mass.gov/abcc/index.htm,,,https://www.yelp.com/biz/massachusetts-alcoholic-beverages-control-commission-boston,,,22-Jun-17,
4,2579,Northwestern District Attorney's Office,1,"Northwestern District Attorney's Office, HAMPSHIRE COUNTY OFFICE 
One Gleason Plaza 
Northampton, MA 01060",413-586-9225,413-586-9225,(413) 584-3635,https://northwesternda.org/home,,DavidsonCoDA,http://www.northwesternda.org/contact-us,,,,/agency/massachusetts-1/northwestern-district-attorneys-office-2579/,https://northwesternda.org/sites/all/themes/northwesternda/images/logo.png,https://www.facebook.com/NorthwesternDADaveSullivan,,,,,https://northwesternda.org/news,,,https://www.yelp.com/biz/northwestern-district-attorney-greenfield,,,23-Jun-17,
5,5451,Massachusetts Executive Office of Public Safety and Security - Office of the Chief Medical Examiner,1,"Office of the Chief Medical Examiner 
720 Albany Street 
Boston, MA 02118",617-267-6767,800-962-7877,(617) 266-6763,http://www.mass.gov/eopss/agencies/ocme/,,,http://www.mass.gov/eopss/agencies/ocme/public-records-requests-.html,,,,/agency/massachusetts-1/massachusetts-executive-office-public-safety-and-security-office-chief-medical-examiner-5451/,,,,,,,,,,,,,23-Jun-17,
6,7687,Massachusetts Educational Financing Authority,1,"160 Federal Street, 4th Floor 
Boston, MA 02110",800-449-6332,800-449-6332,,https://www.mefa.org/,MEFAtweets,,https://www.mefa.org/about/get-in-touch-with-mefa/,,,,/agency/massachusetts-1/massachusetts-educational-financing-authority-7687/,https://www.mefa.org/wp-content/themes/mefa-2014/lib/img/logo.png,https://www.facebook.com/mefaMA,https://www.linkedin.com/company-beta/44754/,,,,,,,https://www.yelp.com/biz/mefa-boston,,,23-Jun-17,
7,7658,Board of Registration in Medicine,1,"Gerard Dolan, Primary RAO 
Assistant General Counsel 
200 Harvard Mill Square, Suite 330 
Wakefield, MA 01880",781-876-8268,781-876-8200,,http://www.mass.gov/eohhs/gov/departments/borim/,,,http://www.mass.gov/eohhs/public-records/med/board-of-registration-in-medicine-public-records-request.html,,,,/agency/massachusetts-1/board-of-registration-in-medicine-7658/,,,,,,,http://www.mass.gov/eohhs/gov/departments/borim/news-and-updates.html,,,,,,23-Jun-17,
8,274,Massachusetts State Police,1,"470 Worcester Road 
Framingham, MA 01702",508-820-2300,508-820-2300,508-820-2182,http://www.mass.gov/eopss/agencies/msp/#.WUzlcrZLfcs,MassStatePolice,,http://www.mass.gov/eopss/agencies/msp/public-records-requests.html,,,,/agency/massachusetts-1/massachusetts-state-police-274/,http://www.mass.gov/resources/images/template/header-seal.gif,https://www.facebook.com/MassStatePolice/,,https://www.instagram.com/massstatepolice/?hl=en,"https://www.glassdoor.co.in/Overview/Working-at-Massachusetts-State-Police-EI_IE42866.11,37.htm?countryRedirect=true",https://en.wikipedia.org/wiki/Massachusetts_State_Police,"http://mspnews.org/, http://topics.masslive.com/tag/massachusetts-state-police/",,,https://www.yelp.com/biz/massachusetts-state-police-headquarters-framingham,,,23-Jun-17,
9,7577,Department of Higher Education,1,"Massachusetts Department of Higher Education 
One Ashburton Place, Room 1401 
Boston, MA 02108",617-994-6966,617-994-6950,617-727-0955,http://www.mass.edu/home.asp,MassDHE,,http://www.mass.edu/about/publicrecords.asp,,,,/agency/massachusetts-1/department-of-higher-education-7577/,https://pbs.twimg.com/profile_images/642081856335278080/3pUyqwl8_400x400.png,https://www.facebook.com/MassDHE,https://www.linkedin.com/company-beta/1668721/,,,,http://www.mass.edu/about/whatsnew.asp,,,,,,23-Jun-17,
10,508,Attorney General's Office,1,"Lorraine A.G. Tarrow
Records Access Officer
Office of the Attorney General
One Ashburton Place, 18th Floor
Boston, MA 02108",617-727-2200,617-727-2543,,http://www.mass.gov/ago/,MassAGO,,http://www.mass.gov/ago/about-the-ago/pr/contact-the-ago-records-access-officer.html,,,,/agency/massachusetts-1/attorney-generals-office-508/,"http://www.mass.gov/resources/images/template/header-seal_ago.png, https://pbs.twimg.com/profile_images/867367078550003712/XyfVCbES_400x400.jpg",https://www.facebook.com/MassAttorneyGeneral,https://www.linkedin.com/company-beta/2925861/,https://www.instagram.com/mass_ago/,"https://www.glassdoor.co.in/Overview/Working-at-Massachusetts-Office-of-the-Attorney-General-EI_IE114536.11,55.htm",https://en.wikipedia.org/wiki/Massachusetts_Attorney_General,http://www.mass.gov/ago/news-and-updates/,,,,,,23-Jun-17,
